Start Date,End Date,Start Time,End Time,Type of Schedule,Details,Location
2024-09-05,2024-09-05,14:30:00,16:45:00,Work,Formal BOE,Level 8
2024-08-30,2024-08-30,19:00:00,22:00:00,Friends,Kean Wah,Yan Palace
11-10,11-10,00:00:00,00:00:00,Birthday reminder,Charmaine,
2024-09-27,2024-10-07,00:00:00,00:00:00,Holiday,Japan trip with family,Kyoto and Osaka
2024-12-30,2024-12-30,10:00:00,15:00:00,Special Event,Charmaine and Wilson's marriage solemnisation,Min Jiang@Dempsey
2024-09-04,2024-09-04,08:30:00,10:30:00,Work,Informal BOE - CBP,Level 8
2024-09-03,2024-09-03,10:00:00,12:00:00,Work,Informal BOE - CET,Level 8
2024-09-02,2024-09-02,17:00:00,18:00:00,errand,Rolex at Kee Hing Hung,18 Robinson Rd #01-04
2024-09-19,2024-09-19,14:30:00,16:00:00,Work,Interview Jia Hao,Level 9
2024-09-05,2024-09-05,10:00:00,11:30:00,Work,SDBDA meeting,Level 6
2024-09-05,2024-09-05,08:30:00,10:00:00,Work,Informal BOE - BF,Level 8
2024-10-16,2024-10-18,09:00:00,17:00:00,Work,SIB (Part 2),Various
2024-10-09,2024-10-11,09:00:00,17:00:00,Work,SIB (Part 1),Various
2024-12-18,2024-12-23,00:00:00,00:00:00,Holiday,Going Chiang Mai with wife!,Chiang Mai
2024-09-06,2024-09-06,14:00:00,15:15:00,Friends,Check out watch with Chris ,Takashimaya
2024-09-04,2024-09-06,00:00:00,00:00:00,Personal Errand,test,
